N_IMG is 8
===== AutoNEB Job Starting at Wed Nov  8 15:34:58 CST 2023 =====
 ===== Make Initial NEB Guess =====
--- Successfully make guessed image chain by idpp method ! ---
===== Running NEB =====
----- Running ASE-NEB -----
----- improvedtangent method is being used -----
----- Parallel calculation is being used -----
      Step     Time          Energy          fmax
FIRE:   47 00:39:28  -263919.172490         0.364841
FIRE:   48 01:22:09  -263919.167640         0.822516
FIRE:   49 02:04:22  -263919.171930         0.147849
FIRE:   50 02:46:29  -263919.169320         0.678679
FIRE:   51 03:28:32  -263919.170460         0.524376
FIRE:   52 04:11:00  -263919.171750         0.257143
FIRE:   53 04:53:33  -263919.172150         0.105161
FIRE:   54 05:36:09  -263919.172150         0.105090
FIRE:   55 06:18:43  -263919.172160         0.105171
FIRE:   56 07:01:16  -263919.172170         0.105085
FIRE:   57 07:43:47  -263919.172180         0.105208
FIRE:   58 08:26:29  -263919.172190         0.105117
FIRE:   59 09:09:02  -263919.172200         0.105053
FIRE:   60 09:51:31  -263919.172210         0.104837
FIRE:   61 10:34:07  -263919.172230         0.104684
FIRE:   62 11:16:42  -263919.172240         0.104378
FIRE:   63 11:59:18  -263919.172250         0.103888
FIRE:   64 12:42:03  -263919.172280         0.103325
FIRE:   65 13:24:42  -263919.172300         0.102502
FIRE:   66 14:07:23  -263919.172320         0.101389
FIRE:   67 14:49:57  -263919.172330         0.100079
FIRE:   68 15:32:37  -263919.172330         0.098443
FIRE:   69 16:15:12  -263919.172310         0.096373
FIRE:   70 16:57:48  -263919.172280         0.094106
FIRE:   71 17:40:37  -263919.172250         0.091149
FIRE:   72 18:23:42  -263919.172200         0.087613
FIRE:   73 19:06:30  -263919.172070         0.083486
FIRE:   74 19:49:21  -263919.171840         0.079563
FIRE:   75 20:32:15  -263919.171460         0.076209
FIRE:   76 21:15:03  -263919.170860         0.074274
FIRE:   77 21:57:31  -263919.170030         0.073505
FIRE:   78 22:39:16  -263919.168910         0.076006
FIRE:   79 23:20:02  -263919.167430         0.080388
FIRE:   80 00:00:19  -263919.165540         0.085834
FIRE:   81 00:40:38  -263919.163220         0.092786
FIRE:   82 01:20:28  -263919.160350         0.223512
FIRE:   83 02:00:30  -263919.156590     rm    0.708372
FIRE:   84 02:40:04  -263919.157490         0.096869
FIRE:   85 03:19:39  -263919.157500         0.096771
FIRE:   86 03:59:16  -263919.157490         0.096524
FIRE:   87 04:38:47  -263919.157480         0.096139
FIRE:   88 05:18:41  -263919.157470         0.095475
FIRE:   89 05:58:29  -263919.157450         0.094586
FIRE:   90 06:38:13  -263919.157420         0.093527
FIRE:   91 07:17:49  -263919.157400         0.092160
FIRE:   92 07:57:41  -263919.157360         0.090558
FIRE:   93 08:37:29  -263919.157310         0.088648
FIRE:   94 09:17:17  -263919.157240         0.086450
FIRE:   95 09:57:15  -263919.157150         0.083740
FIRE:   96 10:36:56  -263919.157030         0.080465
FIRE:   97 11:16:33  -263919.156890         0.076121
FIRE:   98 11:56:19  -263919.156710         0.070565
FIRE:   99 12:35:53  -263919.156500         0.064664
FIRE:  100 13:15:17  -263919.156280         0.057191
FIRE:  101 13:54:47  -263919.156090         0.051734
FIRE:  102 14:34:19  -263919.155970         0.057758
FIRE:  103 15:13:51  -263919.155970         0.097394
FIRE:  104 15:54:04  -263919.156130         0.199722
FIRE:  105 16:34:00  -263919.156150         0.038354
----- NEB calculation finished -----
===== NEB Process Done ! =====
===== Running Post-Processing =====
=== n_max set to 0, automatically detect the images of chain by NEBTools ===
Number of images per band guessed to be 10.
num: 0; Energy: -263919.63951 (eV)
num: 1; Energy: -263919.61789 (eV)
num: 2; Energy: -263919.53927 (eV)
num: 3; Energy: -263919.39586 (eV)
num: 4; Energy: -263919.22939 (eV)
num: 5; Energy: -263919.15615 (eV)
num: 6; Energy: -263919.22216 (eV)
num: 7; Energy: -263919.66803 (eV)
num: 8; Energy: -263919.86045 (eV)
num: 9; Energy: -263919.87311 (eV)
Reaction Barrier and Energy Difference: (0.49112491199010044, -0.2335999999777414) (eV)
Number of images per band guessed to be 10.
Processing band        105 /        106
Appears to be only one band in the images.
Processing band          0 /          1


